person_id,name,surname,job_title,description,profile_image_url,cv_url,email,role_description,short_description
11,Giovanni,Nero,Volunteer coordinator,"Giovanni Nero has a degree in Human Resource Management from the University of Siena. With 6 years of experience, Giovanni manages the recruitment, training and supervision of volunteers, ensuring that the centre has motivated and trained staff.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Giovanni_Nero.jpeg?t=2024-06-19T11%3A57%3A48.622Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Giovanni_Nero.pdf?t=2024-06-19T17%3A46%3A30.142Z,giovanni.nero.mila@gmail.com,"Giovanni Nero manages the recruitment, training, and supervision of volunteers at Centro MiLA. He ensures that our volunteers are motivated, well-trained, and effectively integrated into our team. Giovanni's role is critical in maintaining a dedicated and compassionate volunteer workforce.",
12,Chiara,Gatti,Communications specialist,"Chiara Gatti graduated in Communication from the University of Venice and holds a master’s degree in marketing and social communication. With 9 years of experience, Chiara manages awareness campaigns and external communication for the centre, utilizing social media and other channels to disseminate information and raise awareness about gender-based violence.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Chiara_Gatti.jpeg?t=2024-06-19T11%3A57%3A40.539Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Chiara_Gatti.pdf?t=2024-06-19T17%3A45%3A49.238Z,chiara.gatti.mila@gmail.com,Chiara Gatti oversees awareness campaigns and external communications for Centro MiLA. She utilizes social media and other channels to disseminate information and raise awareness about gender-based violence. Chiara's expertise in marketing and social communication helps amplify our message and reach a broader audience.,
13,Alessandra,Ferrari,Psychotherapist,"Alessandra Ferrari holds a degree in Psychology and a specialization in Systemic-Relational Psychotherapy from the University of Padua. With over 12 years of experience, Alessandra provides individual and group therapies to help women overcome the traumas of violence.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Alessandra_Ferrari.jpeg,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Alessandra_Ferrari.pdf?t=2024-06-19T11%3A55%3A07.242Z,alessandra.ferrari.mila@gmail.com,"At MiLA, Alessandra Ferrari is part of the Psychological Counselling team, as well as being the project manager for two of MiLA's key initiatives: SELF: Rediscovery & Confidence and Paws for Healing. Alessandra’s holistic approach, combining individual and group therapy with empowering projects, helps women build self-esteem, assertiveness, and emotional well-being.",Alessandra Ferrari is the manager of the projects SELF. Rediscovery & Confidence and Paws for Healing.
14,Fatima,Moretti,Cultural mediator,"Fatima Moretti holds a degree in Intercultural Mediation from the University of Florence. With 7 years of experience, Fatima provides support to migrant women who are victims of violence, helping them overcome linguistic and cultural barriers and integrate into the community.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Fatima_Moretti.jpeg?t=2024-06-19T11%3A57%3A43.304Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Fatima_Moretti.pdf?t=2024-06-19T17%3A46%3A05.267Z,fatima.moretti.mila@gmail.com,"Fatima Moretti leads the Intercultural Mediator Service, supporting migrant women who are victims of violence. She helps them overcome linguistic and cultural barriers, facilitating their integration into the community. Fatima's work is essential in ensuring that all women receive the support they need, regardless of their background.",Fatima Moretti is the manager of the Intercultural Mediation service.
15,Silvia,Lombardi,Reception operator,"Silvia Lombardi graduated in Social Services from the University of Bari. With 5 years of experience, Silvia manages the reception of women arriving at the centre, providing them with information, support, and guidance to various available services.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Silvia_Lombardi.jpeg?t=2024-06-19T17%3A44%3A04.011Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Silvia_Lombardi.pdf?t=2024-06-19T17%3A47%3A37.918Z,silvia.lombardi.mila@gmail.com,"Silvia Lombardi manages the reception of women arriving at Centro MiLA, providing them with essential information, support, and guidance. She conducts welcome interviews to assess their needs and direct them to appropriate services.",Silvia Lombardi is the manager of the Welcome Interviews service.
16,Giorgia,Marino,Professional educator,"Giorgia Marino holds a degree in Professional Education from the University of Bologna. With 6 years of experience, Giorgia develops and conducts educational programs for women and children attending the centre, promoting resilience and well-being.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Giorgia_Marino.jpeg?t=2024-06-19T11%3A57%3A46.254Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Giorgia_Marino.pdf?t=2024-06-19T17%3A46%3A21.218Z,giorgia.marino.mila@gmail.com,Giorgia Marino develops and conducts educational programs for women and children at Centro MiLA. She promotes resilience and well-being through her tailored educational initiatives. Giorgia's work helps empower clients with the skills and knowledge needed to navigate their challenges and build better futures.,Giorgia Marino is the manager of the project Design Innovation for Empowerment.
17,Paolo,Caruso,Personal finance specialist,"Paolo Caruso graduated in Economics from the University of Trento and holds a master's degree in Personal Finance. With 8 years of experience, Paolo assists women in managing their finances, providing advice on budgeting, saving, and debt management.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Paolo_Caruso.jpeg?t=2024-06-19T17%3A43%3A54.978Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Paolo_Caruso.pdf?t=2024-06-19T17%3A47%3A31.564Z,paolo.caruso.mila@gmail.com,"Paolo Caruso leads the Build Financial Independence Project, assisting women in managing their finances. He provides advice on budgeting, saving, and debt management, helping clients achieve economic stability. Paolo's expertise is vital in empowering women to take control of their financial futures.",Paolo Caruso is the manager of the project Build Financial Independence.
18,Laura,Santini,Education Coordinator,"Laura Santini holds a degree in Pedagogy from the University of Pisa. With over 10 years of experience, Laura coordinates the educational programs of the centre, developing workshops and courses for women and their children.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Laura_Santini.jpeg?t=2024-06-19T17%3A42%3A58.423Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Laura_Santini.pdf?t=2024-06-19T17%3A46%3A44.366Z,laura.santini.mila@gmail.com,"Laura Santini coordinates the educational programs at Centro MiLA, developing workshops and courses for women and their children. Her extensive experience ensures that the programs are effective and enriching. Laura's role is key in providing continuous learning opportunities for our clients.",
19,Stefano,Riva,Occupational therapist,"Stefano Riva holds a degree in Occupational Therapy from the University of Verona. With 6 years of experience, Stefano helps women victims of violence regain autonomy and independence through targeted therapeutic activities.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Stefano_Riva.jpeg?t=2024-06-19T17%3A44%3A28.361Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Stefano_Riva.pdf?t=2024-06-19T17%3A47%3A50.102Z,stefano.riva.mila@gmail.com,Stefano Riva helps women victims of violence regain autonomy and independence through targeted therapeutic activities. His work supports clients in rebuilding their lives and improving their daily functioning. Stefano's therapeutic interventions are essential in promoting physical and emotional recovery.,
20,Valeria,Bianchi,Legal assistant,"Valeria Bianchi graduated in Political Science from the University of Turin and holds a diploma in Legal Assistance. With 5 years of experience, Valeria supports the legal team in document preparation and assisting victims during legal proceedings.",https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-Images/profile_image/profile_Valeria_Bianchi.jpeg?t=2024-06-19T17%3A44%3A33.114Z,https://pbvaepwwamyykdrwmqui.supabase.co/storage/v1/object/public/HYP-CVs/CV_Valeria_Bianchi.pdf?t=2024-06-19T17%3A47%3A54.569Z,valeria.bianchi.mila@gmail.com,Valeria Bianchi supports the legal team by preparing documents and assisting victims during legal proceedings. Her role is vital in ensuring that clients receive the legal support they need. Valeria's dedication and expertise help facilitate smoother legal processes for the women at Centro MiLA.,
